model,sampler,subnet,problem,c2st,std,c2st_median,c2st_mad,time,time_std
consistency_model,ode-euler,time_mlp,bernoulli_glm,0.531045001745224,0.0049919604279297,0.5304250121116638,0.003724992275238,0.4367082674987614,0.4430742396550762
cot_flow_matching,ode-rk45-adaptive,time_mlp,bernoulli_glm,0.5108150035142899,0.006505001862653,0.5114500224590302,0.0054749846458435,8.45096675902605,0.6859735542507356
diffusion_cosine_F,ode-tsit5-adaptive,time_mlp,bernoulli_glm,0.5109800040721894,0.0056085826547281,0.5102250277996063,0.0052500069141387,9.775827188417315,0.1832156310545483
diffusion_cosine_noise,sde-two_step-adaptive,time_mlp,bernoulli_glm,0.5102250069379807,0.0068773285502726,0.5097500085830688,0.0063749849796295,10.937054184824229,0.3006152930763744
diffusion_cosine_v,ode-rk45-adaptive,time_mlp,bernoulli_glm,0.5154300034046173,0.0056006726174095,0.5155750215053558,0.0053749978542327,9.415446190256626,0.689955181161737
diffusion_edm_ve,sde-two_step-adaptive,time_mlp,bernoulli_glm,0.6439400017261505,0.0509476781711825,0.635875016450882,0.0493249893188476,7.0656167034059765,0.1688038017791798
diffusion_edm_vp,sde-two_step-adaptive,time_mlp,bernoulli_glm,0.5095300018787384,0.0064840625825319,0.5074999928474426,0.0040000081062316,8.479680357687176,0.2232743549807252
diffusion_edm_vp_ema,sde-two_step-adaptive,time_mlp,bernoulli_glm,0.5133299887180328,0.005977506376014,0.5126999914646149,0.0046750009059906,8.791165050677956,0.2477230675359299
flow_matching,ode-tsit5-adaptive,time_mlp,bernoulli_glm,0.511080002784729,0.0049485040251409,0.5109499990940094,0.0038250088691711,8.306358288787305,0.0077815612570853
flow_matching_edm,ode-tsit5-adaptive,time_mlp,bernoulli_glm,0.512770003080368,0.0045558870217233,0.5102500021457672,0.00245001912117,8.164857781399041,0.0180596037096494
stable_consistency_model,ode-euler,time_mlp,bernoulli_glm,0.5508150041103363,0.0105842334233202,0.5515000224113464,0.0067000091075897,0.6449434543959797,0.6615005803891619
consistency_model,ode-euler,time_mlp,bernoulli_glm_raw,0.5572200000286103,0.0095886220846608,0.5579250156879425,0.0064499974250793,0.4405975708737969,0.4508506012824028
cot_flow_matching,ode-rk45-adaptive,time_mlp,bernoulli_glm_raw,0.5150950014591217,0.0074511923685893,0.5164250135421753,0.004624992609024,8.466579314693808,0.689784086854918
diffusion_cosine_F,ode-tsit5-adaptive,time_mlp,bernoulli_glm_raw,0.5149249911308289,0.0056502777913335,0.515874981880188,0.0041500031948089,10.80342307621613,0.2171639446448618
diffusion_cosine_noise,sde-two_step-adaptive,time_mlp,bernoulli_glm_raw,0.5121849954128266,0.0081111719926849,0.51112499833107,0.0042749941349029,10.049504023976624,0.2520964377825006
diffusion_cosine_v,ode-rk45-adaptive,time_mlp,bernoulli_glm_raw,0.5172849953174591,0.0069255733209655,0.5172749757766724,0.0061000287532806,9.618421084061264,0.6740400321021786
diffusion_edm_ve,sde-two_step-adaptive,time_mlp,bernoulli_glm_raw,0.6552749931812286,0.051691919204858,0.6568000018596649,0.0502000153064727,7.0847581621259454,0.2476074804930794
diffusion_edm_vp,sde-two_step-adaptive,time_mlp,bernoulli_glm_raw,0.5116200029850007,0.007314926016277,0.5106500089168549,0.0070250034332275,8.647826082352548,0.2453669853491847
diffusion_edm_vp_ema,sde-two_step-adaptive,time_mlp,bernoulli_glm_raw,0.5111349999904633,0.0048543884876147,0.509975016117096,0.0047000348567962,8.545805198792369,0.218913593894976
flow_matching,ode-tsit5-adaptive,time_mlp,bernoulli_glm_raw,0.5117449998855591,0.0058975222959805,0.5110750198364258,0.0036750435829162,8.132434529811144,0.008851789290212
flow_matching_edm,ode-tsit5-adaptive,time_mlp,bernoulli_glm_raw,0.5154100000858307,0.0068091059598828,0.5130500197410583,0.0033250153064727,8.204619187489152,0.017597502490893
stable_consistency_model,ode-euler,time_mlp,bernoulli_glm_raw,0.5484349966049195,0.0129766751202867,0.5497999787330627,0.0083750188350677,0.6575414475984871,0.6916114094915062
consistency_model,ode-euler,time_mlp,gaussian_linear,0.5300050020217896,0.0083721167072735,0.5301499962806702,0.0075750052928924,0.4398736829869449,0.4460443235246827
cot_flow_matching,ode-rk45-adaptive,time_mlp,gaussian_linear,0.5034700036048889,0.0017638243262968,0.5027750134468079,0.0009749978780746,8.48303537638858,0.7222219508893194
diffusion_cosine_F,ode-tsit5-adaptive,time_mlp,gaussian_linear,0.504135000705719,0.002913940769918,0.5028499960899353,0.0018250048160552,9.51027591228485,0.0143183889029404
diffusion_cosine_noise,sde-two_step-adaptive,time_mlp,gaussian_linear,0.5043599963188171,0.0034598986527378,0.5039249956607819,0.0022249817848205,8.662117773573845,0.1361040517531714
diffusion_cosine_v,ode-rk45-adaptive,time_mlp,gaussian_linear,0.5024600028991699,0.0018250762791038,0.5020000040531158,0.0011249929666519,9.478920985199512,0.6709322434067525
diffusion_edm_ve,sde-two_step-adaptive,time_mlp,gaussian_linear,0.7087199926376343,0.0120261011819225,0.7077749967575073,0.0111249983310699,5.790953692235052,0.2278886245162656
diffusion_edm_vp,sde-two_step-adaptive,time_mlp,gaussian_linear,0.5037350088357926,0.0026909256883081,0.5032000243663788,0.0027750134468078,7.280853723734618,0.1543764637991505
diffusion_edm_vp_ema,sde-two_step-adaptive,time_mlp,gaussian_linear,0.5033999949693679,0.0021772740658972,0.5027999877929688,0.0015999972820281,6.9190568592399355,0.1126843646875827
flow_matching,ode-tsit5-adaptive,time_mlp,gaussian_linear,0.502634996175766,0.0017301772838996,0.5022749900817871,0.001374989748001,8.196055310312659,0.0262609676902315
flow_matching_edm,ode-tsit5-adaptive,time_mlp,gaussian_linear,0.5024499922990799,0.0016766004507508,0.5023999959230423,0.0011000037193298,8.28067718334496,0.0094337895189588
stable_consistency_model,ode-euler,time_mlp,gaussian_linear,0.6021549999713898,0.004901956288303,0.6024750173091888,0.0033749639987945,0.6490468772128224,0.6584930645444061
consistency_model,ode-euler,time_mlp,gaussian_linear_uniform,0.5338350057601928,0.0031269033084603,0.5344000160694122,0.0024499893188476,0.4426190305501222,0.464453557645227
cot_flow_matching,ode-rk45-adaptive,time_mlp,gaussian_linear_uniform,0.504295003414154,0.0032801280163797,0.5033500045537949,0.0027250051498413,8.968131545837968,0.7027977544196164
diffusion_cosine_F,ode-tsit5-adaptive,time_mlp,gaussian_linear_uniform,0.5041800022125245,0.0019325000656922,0.5045500099658966,0.001499980688095,9.684052774030716,0.0289261329510163
diffusion_cosine_noise,sde-two_step-adaptive,time_mlp,gaussian_linear_uniform,0.502400004863739,0.0026871032851747,0.5013750046491623,0.001225009560585,9.425899091921746,0.1920385096349773
diffusion_cosine_v,ode-rk45-adaptive,time_mlp,gaussian_linear_uniform,0.505620002746582,0.0022111180809313,0.5053000152111053,0.0013750195503234,9.67422148771584,0.7011391822655423
diffusion_edm_ve,sde-two_step-adaptive,time_mlp,gaussian_linear_uniform,0.681505000591278,0.0101727658638315,0.6770749986171722,0.0069999992847442,6.553637524694205,0.2055145519443889
diffusion_edm_vp,sde-two_step-adaptive,time_mlp,gaussian_linear_uniform,0.5034200012683868,0.0026874864901904,0.5027750134468079,0.0017000138759613,7.94739193757996,0.1207703635892757
diffusion_edm_vp_ema,sde-two_step-adaptive,time_mlp,gaussian_linear_uniform,0.5054349929094315,0.0030620213626641,0.5049500018358231,0.0022999793291091,7.731052394490689,0.1567413921449603
